,User,Text,Date,Hashtags
549,NateWeedyT,"What ever day this is of #lockdown lost count its been long. Anyway what are the convos u having right now. Because wow I'm on about 5g network, 4th industrial revolution and Covid19. Link all this to the movies you ever watched man I tell you... You will understand covid19",2020-03-31 21:59:16+00:00,#lockdown
550,misskennedys,"Things may be starting to look up, as the logarithmic curve of US cases is showing signs of flattening. #stayhome—lockdown works! #COVID19 #COVIDー19",2020-03-31 21:59:05+00:00,#stayhome #stayhome #COVID19 #COVID
551,PositiveTufair,"The more you stay out, the more we will have to stay at home! #StayAtHome #COVID19 #lockdown #StaySafe",2020-03-31 21:58:57+00:00,#StayAtHome #StayAtHome #COVID19 #lockdown #StaySafe
552,openletterbot, Support Sharon by signing “Lockdown needed!” and I’ll deliver a copy to your officials too: https://twitter.com/messages/compose?recipient_id=835740314006511618&amp;text=sign%20JTAZSL Last delivered to @govbilllee #TNpolitics #TNpol #COVID19 ,2020-03-31 21:58:46+00:00,#TNpolitics #TNpol #COVID19
553,TimmyStubbs,Am I going to wake up tomorrow and this has all been a big fucking joke? #Coronavirustruth #COVID19 #lockdown,2020-03-31 21:58:21+00:00,#Coronavirustruth #COVID19 #lockdown
554,EricMugabo03,Well done @BrdEducation We appreciate your quick and good quality services to @Uni_Rwanda and #RP students during this #LockDown due to #COVID19 Your services serves as a key to our success. @HEC_Rwanda,2020-03-31 21:58:20+00:00,#RP #LockDown #COVID19
555,emmyernest45,Is there any measure put in place to cushion the effect of covid19 on your numerous customers where are due to pay their loans next month since there is lockdown around the country,2020-03-31 21:58:10+00:00,
556,HarryOxford6,The Coronavirus wall?#lockdown #COVID19 #StaySafe #coronavirusuk #CoronavirusUSA #writingcommunity #globalpattern #CoronaLockdown #SelfIsolation,2020-03-31 21:58:06+00:00,#lockdown #COVID19 #StaySafe #coronavirusuk #CoronavirusUSA #writingcommunity #globalpattern #CoronaLockdown #SelfIsolation
557,aine_ohara,When he tries to play hide and seek during lockdown... @dog_rates #COVID19 ,2020-03-31 21:57:57+00:00,#COVID19
558,IRegretThisx0x,Day 5: okay then #COVID19 #lockdown has finally done one on me. I’ve officially lost my mind. I don’t know if I’m proud I just did the baby shark dance on FaceTime to my boyfriend.,2020-03-31 21:57:39+00:00,#COVID19 #lockdown
559,GaryPriestley7,Absolutely great idea!!! #COVID19 #TheLockdown #StayAtHomeSaveLives #dancing #lockdown #lockdowndance #community #InThisTogether,2020-03-31 21:57:24+00:00,#COVID19 #TheLockdown #StayAtHomeSaveLives #StayAtHomeSaveLives #dancing #lockdown #lockdowndance #community #InThisTogether
560,the_ames_,Somebody make sure @tatereeves is watching the press conference. Explain to him mitigation means imposing quarantine for the whole state of Mississippi. #COVID19 #Coronavirustruth #QuarantineLife #Mississippi #lockdown #COVID #CoronavirusUSA #,2020-03-31 21:57:17+00:00,#COVID19 #Coronavirustruth #QuarantineLife #Mississippi #lockdown #COVID #CoronavirusUSA
561,timboxall,"Just in case you're wondering where to pick up those lockdown essentials, always check before you go out... #lockdown #stockpiling #COVID19 #coronavirus",2020-03-31 21:57:08+00:00,#lockdown #stockpiling #COVID19 #coronavirus
562,ItsJustMeeh,"@Project_Veritas can find out in 2 min that NY is on lockdown for ""the flu"" &amp; NOTHING like what we've been TOLD #COVID19 is, Americans HAVE 2 do something! Right 2 assemble? GONE! Right 2 buy a guy? GONE! @realDonaldTrump @DonaldJTrumpJr @JamesOKeefeIII DO something 2 STOP them!",2020-03-31 21:57:02+00:00,#COVID19
563,AlongMersey,"From Monday, April 6, Mersey Ferries will temporarily suspend the current morning and evening commuter service due to a reduction in demand. #lockdown #COVID19 #COVIDー19",2020-03-31 21:56:58+00:00,#lockdown #COVID19 #COVID
564,tadipaarkabaap,does one get visa overnight? when did they arrive in India? fyi: https://boi.gov.in/content/advisory-travel-and-visa-restrictions-related-covid-19-0 could they fly back overnight after the sudden lockdown? did they not reach out to authorities for help? They are just being singled out for being Muslims and coincidentally covid19 +ve.,2020-03-31 21:56:52+00:00,
565,iam_JVP6382,COMMUNITY LOCKDOWN CHINA and ITALY •Nasa Bahay Lahat •Sarado Establishments •Disiplinado PHILIPPINES •Nag-iinuman •Nag-tsitsismisan •Nag-susugal •Takas sa Checkpoint •Gala sa Daan #ECQ #COVID19 #COVID19PH ,2020-03-31 21:56:50+00:00,#ECQ #COVID19 #COVID19PH
566,VicDijon,"March...in like a lion, out like a rat trap covered in pigeon poop and barf. #pigeonpoopratboxbarf #COVID19 #lockdown #LongestMonthEver",2020-03-31 21:56:49+00:00,#pigeonpoopratboxbarf #COVID19 #lockdown #LongestMonthEver
567,realDailyCivic,"""A tyranny sincerely exercised for the good of its victims may be the most oppressive"" - C.S. Lewis #COVID19 #Quarantine #Lockdown ",2020-03-31 21:56:49+00:00,#COVID19 #Quarantine #Lockdown
568,55bloke,"Took the dogs into the garden for a wee at 10:30pm here on the outskirts of #sheffield and for the first time ever, the night was totally silent. Very #spooky #lockdown #COVID19",2020-03-31 21:56:32+00:00,#sheffield #spooky #lockdown #COVID19
569,erydejong,"And now, a message from @Marina_Sirtis that everyone who's feeling stressed or anxious or alone right now - from all the #lockdown #CoronaVirus #COVID19 #panicbuying #SelfIsolation mania - needs to hear. ",2020-03-31 21:56:27+00:00,#lockdown #CoronaVirus #COVID19 #panicbuying #SelfIsolation
570,LokeTweets,It baffles me to the fact that the entire country is not under any kind of lockdown. Too late already. #LockdownUSA #COVID19 #QuarantineLife,2020-03-31 21:56:25+00:00,#LockdownUSA #COVID19 #QuarantineLife
571,Dancing_LibLady,On the 3rd week of lockdown with at least 4 more to go after this. #COVIDー19 #COVID19 #StayAtHome #WorkFromHome #coronavirus #CoronavirusUSA #SelfIsolation #SocialDistancing,2020-03-31 21:55:42+00:00,#COVID #COVID19 #StayAtHome #StayAtHome #WorkFromHome #coronavirus #CoronavirusUSA #SelfIsolation #SocialDistancing
