,User,Text,Date,Hashtags
11,vkssn235,#FitIndiaMovement Jumping rope (रस्सी कूदना) is a good workout for all fitness levels as you can do it at a pace that suits you. #IndiaFightsCorona #lockdown #socialdistance #Covid19 #FitIndia #Stayhome #Staysafe… https://www.instagram.com/p/B-T8CwTjL_n/?igshid=1jqf91h1hovux,2020-03-29 08:59:18+00:00,#FitIndiaMovement #IndiaFightsCorona #lockdown #socialdistance #Covid19 #FitIndia #Stayhome #Stayhome #Staysafe
12,ankiT__aK,हमारे देश के माननीय प्रधानमंत्री श्री @narendramodi जी द्वारा #COVID19 से लड़ने और इसे हराने की इस मुहीम #lockdown में अपना सम्पूर्ण योगदान दे कर #देश_के_हीरो बने। #देशहित के लिए #जनहित मे जारी।,2020-03-27 16:20:33+00:00,#COVID19 #lockdown
13,deepadoc,@hydcitypolice @TelanganaDGP we love u. Guys hyderabadi accent always makes me smile and then police is giving left right to #COVIDIDIOT Maze aa gaye मेरे कु सुनने मे आ रिया है मजमा लग रिया है #CoronaLockdown #CoronaVillains #CoronavirusOutbreak #lockdown #Lockdown21 #COVID19 ,2020-03-27 14:58:24+00:00,#COVIDIDIOT #CoronaLockdown #CoronaVillains #CoronavirusOutbreak #lockdown #Lockdown21 #COVID19
14,UtkarshV_BJP,If that's the case..then Great Work CM @ArvindKejriwal Sir #HumanityAbovePolitics But don't take any chances atleast till the #NationalLockdown is over ! My Appeal To Everyone #StayAtHome &amp; #StaySafe #StayHomeSaveLives #StayHomeStaySafe #COVID19 #COVID19India #Lockdown ,2020-03-27 13:09:43+00:00,#HumanityAbovePolitics #NationalLockdown #StayAtHome #StayAtHome #StaySafe #StayHomeSaveLives #StayHomeStaySafe #COVID19 #COVID19India #Lockdown
15,UtkarshV_BJP,Every relief measure annouced by #India Govt is for around 3 Months duration approx ! Is #GoI thinking of increasing the #Lockdown or it's just a cautious approach! #JustAThought #21daysLockdownIndia #LockdownIndia #IndiaFightsCorona #IndiaVsCorona #COVID19 @IndiaToday @aajtak,2020-03-27 06:20:21+00:00,#India #GoI #Lockdown #JustAThought #21daysLockdownIndia #LockdownIndia #IndiaFightsCorona #IndiaVsCorona #COVID19
16,Gopal_Keshawat,"During this corona related lockdown, we need to save lives of birds &amp; animals too. As our appeal of **(Jannayak CM of Raj.)**to all is to make arrangements of food &amp; water so that we are able to save birds &amp; animals too. #राजस्थान_सतर्क_है #COVID19@@ashokgehlot51 @RahulGandhi",2020-03-26 05:02:07+00:00,#COVID19
17,Giridhari93,"सर इस lockdown में सैलरी तो आएगी नही फिर EMI कैसे पाय करे,, #COVID19 #StudentLoan",2020-03-26 04:51:05+00:00,#COVID19 #StudentLoan
18,rayanaIAMMA,"India rich with Kaya kalpa, Aurveda, yoga, and homeo...but still needs lockdown. All our AI besides degital, failed to rescue covid19... ",2020-03-25 22:31:40+00:00,
19,nitinwalia,"@bigbasket_com @narendramodi @ashokgehlot51 @SachinPilot @RaghusharmaINC its was assured that essential services will work and these delivery services will not be stopped, however its 1st day of lockdown and thery are closed with this message #COVID19 https://twitter.com/nitinwalia/status/1242842136204247040/photo/1",2020-03-25 15:55:10+00:00,#COVID19
20,sanchit005,"#Nature is with us in Quarantine #Beauty #Jaipur #Weather #After #Rain #CleanAir #Birds #Clouds #Covid19 #Lockdown #India #indiafightscorona @Jaipur, Rajasthan https://www.instagram.com/p/B-KJEzlHa-s/?igshid=1xvdu6hj9wlb1",2020-03-25 13:34:47+00:00,#Nature #Beauty #Jaipur #Weather #After #Rain #CleanAir #Birds #Clouds #Covid19 #Lockdown #India #indiafightscorona
