,User,Text,Date,Hashtags
35,ravindergulati2,"#lockdown #macrophotography #nikonphotography #nikond90 #nikon50mm #naturephotography #mosquito #learningnewthings #nikonphotographer #covid19 @Harmilap Nagar, Baltana https://www.instagram.com/p/B_r3f41nLn7/?igshid=16b71o7nvu02e",2020-05-02 12:26:25+00:00,#lockdown #macrophotography #nikonphotography #nikond90 #nikon50mm #naturephotography #mosquito #learningnewthings #nikonphotographer #covid19
36,sushilmanav,#Haryana issues revised guidelines for easing of lockdown #COVID19 https://m.tribuneindia.com/news/haryana/haryana-issues-revised-guidelines-for-easing-of-lockdown-78998 @thetribunechd @cmohry @mlkhattar,2020-05-01 13:35:28+00:00,#Haryana #COVID19
37,amanchowdry,"#Lockdown3 Lockdown has been extended by another Two weeks, till May 17 #Corona #Covid19 ",2020-05-01 13:09:11+00:00,#Lockdown3 #Corona #Covid19
38,rrohillaa,"Liquor shops should be opened with strict social distancing norms. A good way to restart the economy, after all its one of the biggest revenue generator for states. Taverns should remained closed for another 60 days atleast. #lockdown #india #liquor #covid19",2020-05-01 06:24:37+00:00,#lockdown #india #liquor #covid19
39,Techhealth99,Balakote Youth Club thanks to all Frontline workers #frontline #SARSCoV2 #COVID19 #india #govt #BringMigrantsHome #LockdownExtended #LockdownExtended #lockdown #lockdownextension #ModiLeadingTheWorld #TrumpPressBriefing #Covid_19SA,2020-04-30 13:48:58+00:00,#frontline #frontline #SARSCoV2 #COVID19 #india #govt #BringMigrantsHome #LockdownExtended #LockdownExtended #lockdown #lockdownextension #ModiLeadingTheWorld #TrumpPressBriefing #Covid_19SA
40,Techhealth99,As a doctor I feel so good when people appreciate like this|Thanks all for staying home for us #coronavirus #lockdown #COVID19 #CoronaWarriorsIndia #doctorwho #doctors #NursesCOVID19 #EachOneReachOne #PMReliefFund #positivity #IndiaFightsCoronavirus #rabnawaz #techhealth,2020-04-30 12:01:58+00:00,#coronavirus #lockdown #COVID19 #CoronaWarriorsIndia #doctorwho #doctors #NursesCOVID19 #EachOneReachOne #PMReliefFund #positivity #IndiaFightsCoronavirus #rabnawaz #techhealth
41,inderbarua,"Even i also applied for three times but no reply till now. But trying to teach surrounding about Lockdown,Curfew,Covid19 &amp; Result is 0. People not much serious about this pandemic.",2020-04-29 16:37:02+00:00,
42,TaruniGandhi,"In btw the #COVID19 and Lockdown, there's EXIT PLAN of Pb Govt..worth a read..have a look!! ",2020-04-28 18:44:50+00:00,#COVID19
43,SrowSameer,"Great . Hope,,,#sustainsLife. Covid19 gave birth to #Pandemic,,, And #These words ,became part of our #dailylife 1-HCQ 2-Plasma 3-Lockdown 4-Vaccine Trials 5-Flattening of Curve 6-Testing kits 7-corona warriors 8-Mask 9-sanitizers- 10-Any?? #INDIAFightsCorona ",2020-04-28 15:18:42+00:00,#sustainsLife #Pandemic #These #dailylife #INDIAFightsCorona
44,theofficexperts,#Corona #covidsafe #IndiaFightsCOVID19 27.04.20 cases Total | Active | Rec | Deaths #Covid_19india 28196 | 20624 | 6685 | 887 #Chandigarh | 40 | 23 | 17 | 0 #Mohali 63 | 39 | 22 | 2 #Panchkula 18 | 8 | 10 | 0 #coronavirus #IndiaFightsCorona #Lockdown #lockdownhustle #COVID19 – at The Office Xperts,2020-04-27 13:29:52+00:00,#Corona #covidsafe #IndiaFightsCOVID19 #Covid_19india #Chandigarh #Mohali #Panchkula #coronavirus #IndiaFightsCorona #Lockdown #lockdownhustle #COVID19
45,theofficexperts,#CoronavirusPandemic #CoronavirusIndia 26.04.20 TotalCase | Active | Rec | Deaths #Chandigarh | 36 | 19 | 17 | 0 #Mohali 63 | 47 | 14 | 2 #Panchkula 18 | 15 | 3 | 0 #India 27593 | 20198 | 6515 | 880 #CoronaVirusUpdate #coronavirus #Lockdown #IndiaFightsCoronavirus #COVID19 #tox – at The Office Xperts,2020-04-26 16:51:25+00:00,#CoronavirusPandemic #CoronavirusIndia #Chandigarh #Mohali #Panchkula #India #CoronaVirusUpdate #coronavirus #Lockdown #IndiaFightsCoronavirus #COVID19 #tox
46,crechandigarh,"#IndiaFightsCOVID19 #StopTheSpread #StayAtHome, obey #lockdown, #StayAtHomeAndStaySafe #Lockdown2 #SocialDistancing #PMCares #coronavirus #IndiaFightsCorona #COVID #COVID19 #COVID19outbreak #WHO #CoronaLockdown #CoronaVirusUpdate #lockdownextension #IndiaUnitedAgainstCorona",2020-04-24 08:42:02+00:00,#IndiaFightsCOVID19 #StopTheSpread #StayAtHome #StayAtHome #lockdown #StayAtHomeAndStaySafe #Lockdown2 #SocialDistancing #PMCares #coronavirus #IndiaFightsCorona #COVID #COVID19 #COVID19outbreak #WHO #CoronaLockdown #CoronaVirusUpdate #lockdownextension #IndiaUnitedAgainstCorona
47,Techhealth99,https://youtu.be/1cCpnfNwygE ECg learn at home in Lockdown time #lockdown #LockdownExtended #ECG #COVID19 #Students #medicalstudents #techhealth #Day28ofLockdown,2020-04-24 08:09:21+00:00,#lockdown #LockdownExtended #ECG #COVID19 #Students #medicalstudents #techhealth #Day28ofLockdown
48,india24x7livetv,"चंडीगढ़: PGI में 6 माह की बच्ची को कोरोना, 18 डॉक्टर समेत 54 स्टाफ मेंबर क्वारनटीन . . #news #latest #breaking #update #corona #coronavirus #covid19 #covid_19 #lockdown #lockdown21 #india #punjab #chandigarh",2020-04-23 05:32:16+00:00,#news #latest #breaking #update #corona #coronavirus #covid19 #covid_19 #lockdown #lockdown21 #india #punjab #chandigarh
49,Techhealth99,After recovery of COVID19 patient Doctors feel like #coronavirus #EarthDayAtHome #EarthDay #earthquake #coronavirus #EarthDayAtHome #COVIDー19 #Islamophobicindianmedia #Islamophobicindianmedia #EarthDayAtHome #Islamophobicindianmedia #Islamophobia #COVIDー19 #COVIDー19 #lockdown ,2020-04-22 14:06:01+00:00,#coronavirus #EarthDayAtHome #EarthDay #EarthDay #earthquake #coronavirus #EarthDayAtHome #COVID #Islamophobicindianmedia #Islamophobicindianmedia #EarthDayAtHome #Islamophobicindianmedia #Islamophobia #COVID #COVID #lockdown
50,shishupaul02,@manuparida1 sir we respected earlier also best of team distributed the ration or langar at door step would be best bcs then only these items would reach to needy #chandigarh #covid19 #curfew #lockdown we @mlpannu available for service ji,2020-04-20 09:23:47+00:00,#chandigarh #covid19 #curfew #lockdown
