,User,Text,Date,Hashtags
6109,kabeloWaka2,#Day5 I'm Just tired of all this.... But the truth is that no day feels the same even under normal circumstances. So there will be those days on lockdown where I'm hating this sshit . So it's OK ! #21dayslockdownSA #COVID19,2020-03-31 12:36:08+00:00,#Day5 #21dayslockdownSA #COVID19
6110,Cat_B_White,"I have created a poster focussing on well-being during COVID-19, using a ‘Take Care’ approach. Please feel free to share or use if helpful! #coronavirus #COVID19 #Wellbeing #TuesdayThoughts #CoronavirusOutbreak #lockdown #lockdownuk",2020-03-31 12:36:06+00:00,#coronavirus #COVID19 #Wellbeing #TuesdayThoughts #CoronavirusOutbreak #lockdown #lockdownuk
6111,Irrational_Roy,As Ugandans brace for starvation in #COVID19 #lockdown @JumiaUG ;,2020-03-31 12:36:05+00:00,#COVID19 #lockdown
6112,povonewstv,Some South African citizens using the shadow of night to defy the 21-day-lockdown as the country fights to control the spread of the coronavirus (COVID-19). #SouthAfrica #Covid19 #CoronaVirus,2020-03-31 12:36:02+00:00,#SouthAfrica #Covid19 #CoronaVirus
6113,IamJohnkelvin,"Here’s something you should know about this ongoing #LockDownNigeria due to #COVID19 Rather than panicking or shutting down your entire life because of this COVID19 lockdown, look for where to invest your money. Let me tell you why... . #Covid19XWorkFromHome",2020-03-31 12:36:01+00:00,#LockDownNigeria #COVID19 #Covid19XWorkFromHome
6114,fergaldavis,#StayAtHome #COVID19 #lockdown ,2020-03-31 12:35:48+00:00,#StayAtHome #StayAtHome #COVID19 #lockdown
6115,JayaTvOfficial,Here is director @vijaymilton's statement regarding the 21 days #Lockdown!. #COVID19 #Vijaymilton,2020-03-31 12:35:43+00:00,#Lockdown #COVID19 #Vijaymilton
6116,ARISEtv,"#COVID19: Transit precautionary measures and #lockdown - FRSC Commander, Hyginus Omeje ",2020-03-31 12:35:42+00:00,#COVID19 #lockdown
6117,TheGrowingBuds,#CoronaVirusUpdates #TheGrowingBudsFoundation has committed to abide by the 21 Days Lockdown Rules. #StayHomeStaySafe #StayHomeSaveLives #StayAtHome #SaveLives #COVID19 #21DaysChallenge #CCPVirus #21daylockdown #CoronaLockdown #IndiaFightsCOVID19,2020-03-31 12:35:29+00:00,#CoronaVirusUpdates #TheGrowingBudsFoundation #StayHomeStaySafe #StayHomeSaveLives #StayAtHome #StayAtHome #SaveLives #COVID19 #21DaysChallenge #CCPVirus #21daylockdown #CoronaLockdown #IndiaFightsCOVID19
6118,deen4everyone_,"Check: https://sws.sh/Qii72 for Ormond Beach Coronavirus Cases, Total Covid 19 Ormond Beach Count Live, Patients &amp; Death List, Lockdown News &amp; Updates TT: #coronavirus #covid19",2020-03-31 12:35:21+00:00,#coronavirus #covid19
6119,ParlStreet,"Our Head of Campaigns, @DannyBowman10 reflects on his personal experience of the first week of the lockdown and the subsequent impact on his mental health. http://parliamentstreet.org/research/2020/briefing-note-minding-the-pandemic-the-first-week/ #coronavirus #covid19 #mentalhealth #wellness",2020-03-31 12:35:21+00:00,#coronavirus #covid19 #mentalhealth #wellness
6120,GaneshDen,తమిళనాడులో చిక్కుకున్న శ్రీకాకుళం మత్స్యకారులకు బాసటగా నిలిచిన జనసేనాని. @PawanKalyan @CMOTamilNadu @DrTamilisaiGuv #IndiaFightsCorona #PawanKalyanForPeople #lockdown #Lockdown21 #COVID19 ,2020-03-31 12:35:18+00:00,#IndiaFightsCorona #PawanKalyanForPeople #lockdown #Lockdown21 #COVID19
