,Unnamed: 0,Unnamed: 0.1,User,Text,Date,Hashtags
27,32,32,TigerPostNews1,follow the lockdown Stay at home stay safe #Covid19India #StayHome,2020-03-31 17:53:41+00:00,#Covid19India #StayHome #StayHome
69,80,80,pennewstweet,Killing spree in UK during coronavirus lockdown; 9 killed #UK #COVID19 #psychological #people #calm #MSUPE #COVID19 #COVID19India #CoronaVirusOutbreak #CoronaVirus #COVID_19 #COVID19outbreak,2020-03-31 14:58:20+00:00,#UK #COVID19 #psychological #people #calm #MSUPE #COVID19 #COVID19India #CoronaVirusOutbreak #CoronaVirus #COVID_19 #COVID19outbreak
95,109,109,GetNewsd,COVID-19 lockdown: Here’s why you should avoid sitting on bed while working from home #CoronavirusLockdown #Covid19India ,2020-03-31 13:26:16+00:00,#CoronavirusLockdown #Covid19India
110,127,127,GetNewsd,COVID-19 Lockdown: Farmer from Karnataka’s Bidar commits suicide as his farm grown watermelons had no buyers #coronavirus #COVID19India #farmers #Karnataka https://newsd.in/farmer-from-karnatakas-bidar-commits-suicide-as-watermelons-from-his-farm-had-no-buyers/,2020-03-31 13:06:59+00:00,#coronavirus #COVID19India #farmers #Karnataka
111,128,128,MysoorunewsC,"Amidst lockdown, PFA and volunteers feed hundreds of stray dogs https://www.mysoorunews.com/amidst-lockdown-pfa-and-volunteers-feed-hundreds-of-stray-dogs/ #Mysuru #Covid19India #CoronavirusOutbreak #straydogs #feed #PeopleForAnimals #street @MysoorunewsC @Manekagandhibjp @peta @pedigree",2020-03-31 13:02:21+00:00,#Mysuru #Covid19India #CoronavirusOutbreak #straydogs #feed #PeopleForAnimals #street
137,156,156,Coronaupdatez,SBI UPDATE #CoronaUpdate #COVID #Covid19India #lockdown #IndiaNews #coronanews,2020-03-31 11:59:56+00:00,#CoronaUpdate #COVID #Covid19India #lockdown #IndiaNews #coronanews
172,197,197,pennewstweet,Nigeria announces lockdown of major cities to curb coronavirus #Nigeria #implemented #millionpeople #COVID19 #psychological #people #calm #MSUPE #COVID19 #COVID19India #CoronaVirusOutbreak #CoronaVirus #COVID_19 #COVID19outbreak,2020-03-31 10:17:59+00:00,#Nigeria #implemented #millionpeople #COVID19 #psychological #people #calm #MSUPE #COVID19 #COVID19India #CoronaVirusOutbreak #CoronaVirus #COVID_19 #COVID19outbreak
180,207,207,GetNewsd,"Assam’s 10,000 workers stranded in Mizoram amidst COVID-19 lockdown #Assam #Mizoram #Covid19India https://newsd.in/assams-10000-workers-stranded-in-mizoram-amidst-covid-19-lockdown/",2020-03-31 09:52:03+00:00,#Assam #Mizoram #Covid19India
191,220,220,GetNewsd,Meghalaya migrant worker commits suicide in Agra amidst COVID-19 lockdown #meghalaya #COVID19India #coronavirus,2020-03-31 09:30:59+00:00,#meghalaya #COVID19India #coronavirus
199,229,229,JagranNews,"Lockdown: कांग्रेस नेता अधीर रंजन चौधरी ने Community Kitchen में बनाया भोजन, देखें वीडियो @adhirrcinc #CommunityKitchen #Coronavirus #CoronavirusinIndia #COVID19 #Covid19India #Lockdownindia",2020-03-31 09:14:37+00:00,#CommunityKitchen #Coronavirus #CoronavirusinIndia #COVID19 #Covid19India #Lockdownindia
210,242,242,GetNewsd,Kerala officials try to disinfect migrant workers with soap water amid COVID-19 lockdown #KeralaFightsCorona #Covid19India #CoronavirusOutbreak https://newsd.in/kerala-officials-tries-to-disinfect-migrant-workers-with-soap-water-amid-covid-19-lockdown/,2020-03-31 08:38:28+00:00,#KeralaFightsCorona #Covid19India #CoronavirusOutbreak
214,246,246,pennewstweet,Doctors for starting OPD facilities in government hospitals #Doctors #OPD #governmenthospitals #Patna #Bihar #BiharFightsCorona #Coronavirusindia #COVID19 #COVID19India #COVID_19 #COVID19outbreak #IndiaFightsCoronavirus #Lockdown #IndiaFightsCorona,2020-03-31 08:27:12+00:00,#Doctors #OPD #governmenthospitals #Patna #Bihar #BiharFightsCorona #Coronavirusindia #COVID19 #COVID19India #COVID_19 #COVID19outbreak #IndiaFightsCoronavirus #Lockdown #IndiaFightsCorona
233,268,268,GetNewsd,COVID-19 lockdown: 3 patients from Kerala’s Kasaragod dies as Karnataka police stops their ambulance in interstate border #Covid19India #CoronavirusOutbreak #Karnataka #Kerala https://newsd.in/covid-19-lockdown-3-patients-from-keralas-kasaragod-dies-as-karnataka-police-stops-their-ambulance-in-interstate-border/,2020-03-31 07:57:58+00:00,#Covid19India #CoronavirusOutbreak #Karnataka #Kerala
244,279,279,thenewstuffin,TN under lockdown: Chennai police issues 207 vehicle passes to exit the city! #TamilNadulockdown #Chennaipolice #CoronavirusOutbreak #Corona #CoronaVirusUpdates #CoronavirusPandemic #coronavirusinindia #COVID #Covid19India #COVID19outbreak #COVID19,2020-03-31 07:49:24+00:00,#TamilNadulockdown #Chennaipolice #CoronavirusOutbreak #Corona #CoronaVirusUpdates #CoronavirusPandemic #coronavirusinindia #COVID #Covid19India #COVID19outbreak #COVID19
264,299,299,GetNewsd,"Punjab: Can’t pay staff after COVID-19 lockdown, says traders from Amritsar #PunjabCoronavirusUpdate #Covid19India #coronavirus",2020-03-31 07:04:52+00:00,#PunjabCoronavirusUpdate #Covid19India #coronavirus
265,300,300,pennewstweet,First indigenous Covid kit ready #Covid19testingkit #Covid19testing #Mylab #PathoDetect #ICMR #Coronavirusindia #COVID19 #COVID19India #CoronaVirusOutbreak #CoronaVirus #COVID_19 #COVID19outbreak #IndiaFightsCoronavirus #Lockdown #IndiaFightsCorona,2020-03-31 07:04:49+00:00,#Covid19testingkit #Covid19testing #Mylab #PathoDetect #ICMR #Coronavirusindia #COVID19 #COVID19India #CoronaVirusOutbreak #CoronaVirus #COVID_19 #COVID19outbreak #IndiaFightsCoronavirus #Lockdown #IndiaFightsCorona
269,304,304,pennewstweet,Covid19: Kerala records highest number of cases in India #Kerala #Coronavirusindia #COVID19 #COVID19India #CoronaVirusOutbreak #CoronaVirus #COVID_19 #COVID19outbreak #IndiaFightsCoronavirus #Lockdown #IndiaFightsCorona #Maharashtra,2020-03-31 07:00:36+00:00,#Kerala #Coronavirusindia #COVID19 #COVID19India #CoronaVirusOutbreak #CoronaVirus #COVID_19 #COVID19outbreak #IndiaFightsCoronavirus #Lockdown #IndiaFightsCorona #Maharashtra
286,328,328,JagranNews,"Coronavirus LockDown Day 7: किचन में न करें सैनिटाइजर का इस्तेमाल, हरियाणा में हुआ बड़ा हादसा #Coronavirus #CoronavirusinIndia #COVID19 #Covid19India #lockdownindia",2020-03-31 05:34:20+00:00,#Coronavirus #CoronavirusinIndia #COVID19 #Covid19India #lockdownindia
287,329,329,pennewstweet,Country wide appreciation on Telanagana CM on migrant labourers’ issue #Telanagana #migrantworkers #KChandrashekharRao #SanjayBaru #Coronavirusindia #COVID19 #COVID19India #COVID_19 #COVID19outbreak #IndiaFightsCoronavirus #Lockdown #IndiaFightsCorona,2020-03-31 05:34:14+00:00,#Telanagana #migrantworkers #KChandrashekharRao #SanjayBaru #Coronavirusindia #COVID19 #COVID19India #COVID_19 #COVID19outbreak #IndiaFightsCoronavirus #Lockdown #IndiaFightsCorona
309,354,354,Zoom_News_India,https://www.zoomnews.in/hi/news-detail/no-need-to-panic-with-the-corona-virus-the-isolated-genome-of-this-virus-in-india-will-easily-win-the-war-padma-bhushan-dr-reddy.html #TablighiJamat #PMCARES #LockdownWithoutPlan #lockdown #Coronavirustruth #CoronaVirusUpdate #CoronavirusOutbreakindia #CoronaInMaharashtra #CoronavirusReachesDelhi #CoronaKoDhona #coronavirusinindia #CoronaAlert #coronainitaly #Covid19India #covidindia,2020-03-31 04:37:21+00:00,#TablighiJamat #PMCARES #LockdownWithoutPlan #lockdown #Coronavirustruth #CoronaVirusUpdate #CoronavirusOutbreakindia #CoronaInMaharashtra #CoronavirusReachesDelhi #CoronaKoDhona #coronavirusinindia #CoronaAlert #coronainitaly #Covid19India #covidindia
318,364,364,JagranNews,"Coronavirus Lockdown : वतन लौट रहे नागरिकों पर नेपाली पुलिस ने किया लाठीचार्ज, नो मेंस लैंड पर धरना शुरू #Coronavirus #CoronavirusinIndia #COVID19 #Covid19India #Lockdown21 #Nepal",2020-03-31 04:26:10+00:00,#Coronavirus #CoronavirusinIndia #COVID19 #Covid19India #Lockdown21 #Nepal
339,385,385,JagranNews,"Coronavirus Lockdown: मंत्री के आदेश पर रातोंरात बसों में ठूंसकर सैंकड़ों लोगों को भेजा, केंद्र के एडवाइजरी की उड़ाई धज्जियां #Coronavirus #CoronavirusinIndia #COVID19 #Covid19India ",2020-03-31 03:08:21+00:00,#Coronavirus #CoronavirusinIndia #COVID19 #Covid19India
342,388,388,AU_DehradunNews,ऋषिकेश से अमेरिका पहुंची महिला कोरोना पॉजिटिव निकली है। महिला की फेसबुक पोस्ट से इस बारे में जानकारी मिलते ही स्थानीय प्रशासन में हड़कंप मच गया। https://www.amarujala.com/dehradun/coronavirus-lockdown-uttarakhand-american-women-found-corona-positive-after-return-from-rishikesh #coronavirusindia #Covid19India #lockdown,2020-03-31 02:52:29+00:00,#coronavirusindia #Covid19India #lockdown
346,393,393,sakshinews,వాహనాలు వాడరాదు https://www.sakshi.com/news/state/karnataka-home-minister-orders-dont-use-vehicles-market-1274186 #Covid19India #lockdown #StayHomeStaySafe #Social_Distancing,2020-03-31 02:43:46+00:00,#Covid19India #lockdown #StayHomeStaySafe #Social_Distancing
376,425,425,shnewsurdu,بھارتی ریاست چنئی کی پولیس کی جانب سے کورونا وائرس سے متعلق آگاہی کے لیے 'کورونا ہیلمٹ' کا استعمال کیا جا رہا ہے، تاکہ وائرس کے پھیلاؤ کو روکا جا سکے۔ #COVID19 #CoronaVirusUpdates #lockdown #Coronavirustruth #StayHome #StaySafe #Covid19India ,2020-03-30 20:41:34+00:00,#COVID19 #CoronaVirusUpdates #lockdown #Coronavirustruth #StayHome #StayHome #StaySafe #Covid19India
420,477,477,newsthinkind,Corona Lockdown : सीएम योगी ने बताया क्यों भीड़ निकल गई सड़कों पर #Coronaindia #coronavirusindia #CoronaAlert #CoronaInMaharashtra #CoronaAlert #CoronavirusOutbreak #CoronaLockdown #Covid_19 #COVID19 #Covid_19india #COVID19 #Covid19India #Coronaindia,2020-03-30 16:30:12+00:00,#Coronaindia #coronavirusindia #CoronaAlert #CoronaInMaharashtra #CoronaAlert #CoronavirusOutbreak #CoronaLockdown #Covid_19 #COVID19 #Covid_19india #COVID19 #Covid19India #Coronaindia
422,479,479,IndiaAheadNews,"6 #COVID19 cases confirmed in #Telangana today, taking the total number of positive cases in the state to 61. 13 people were also discharged today. #lockdown #Covid19India #Quarantine",2020-03-30 16:29:19+00:00,#COVID19 #Telangana #lockdown #Covid19India #Quarantine
430,490,490,IndiaAheadNews,"#Chanakya, 47 episodes directed by Chandraprakash Dwivedi, is planned for daily telecast in the afternoon time bands of DD Bharti from 1st week of April 2020: Government of India #GOI #lockdown @DDNational @DD_Bharati @DDIndialive #CoronaUpdate #Covid19India ",2020-03-30 16:07:35+00:00,#Chanakya #GOI #lockdown #CoronaUpdate #Covid19India
434,495,495,PratidhvaniNews,3 new cases of #Covid_19 confirmed in Bellary. Total number of Coronavirus positive cases increase to 91 in state: Health Minister Sriramulu #Coronaindia #Covid19India #lockdown ,2020-03-30 15:59:06+00:00,#Covid_19 #Coronaindia #Covid19India #lockdown
471,539,539,GetNewsd,Mumbai: Two wheeler vehicles to not get petrol in Mira-Bhayandar from mid night amidst COVID-19 lockdown #CoronavirusOutbreak #COVID19india cases #coronavirus,2020-03-30 14:18:27+00:00,#CoronavirusOutbreak #COVID19india #coronavirus
477,548,548,GetNewsd,"Coronavirus Lockdown: Tamil Nadu cancels milk supplies from Kerala, dairy farmers to be affected #KeralaFightsCorona #CoronavirusOutbreak #Covid19India #TamilNadu https://newsd.in/tamil-nadu-cancels-milk-supplies-from-kerala-dairy-farmers-to-be-affected/",2020-03-30 13:25:04+00:00,#KeralaFightsCorona #CoronavirusOutbreak #Covid19India #TamilNadu
482,554,554,bandranews_com,"#Lockdown की वजह से #Akola में फंसे 83 #Truck, ट्रक चालकों का हाल हुआ बेहाल Full Video - https://youtu.be/AxW52PaH4t4 #21daylockdown #CoronavirusLockdown #covidindia #coronavirus #CoronavirusPandemic #CoronavirusOutbreak #CoronaVirusUpdates #COVID19india ",2020-03-30 13:05:44+00:00,#Lockdown #Akola #Truck #21daylockdown #CoronavirusLockdown #covidindia #coronavirus #CoronavirusPandemic #CoronavirusOutbreak #CoronaVirusUpdates #COVID19india
496,571,571,pennewstweet,PM hails Omar's appeal #NarendraModi #OmarAbdullah #NationalConference #SocialDistancing #Coronavirusindia #COVID19 #COVID19India #CoronaVirusOutbreak #CoronaVirus #COVID_19 #COVID19outbreak #IndiaFightsCoronavirus #Lockdown #LockdownIndia,2020-03-30 12:25:40+00:00,#NarendraModi #OmarAbdullah #NationalConference #SocialDistancing #Coronavirusindia #COVID19 #COVID19India #CoronaVirusOutbreak #CoronaVirus #COVID_19 #COVID19outbreak #IndiaFightsCoronavirus #Lockdown #LockdownIndia
503,579,579,ANN_Newsable,Extending helping hand to the poor and needy in #Punjab amid #coronavirus lockdown #lockdown #Covid19India ,2020-03-30 11:53:52+00:00,#Punjab #coronavirus #lockdown #Covid19India
527,606,606,PratidhvaniNews,Education Minister Suresh Kumar warns private schools and colleges of stern action if they pressurized parents or students for fees @nimmasuresh @CMofKarnataka #Education #Covid19India #CoronaCrisis #lockdown ,2020-03-30 11:17:15+00:00,#Education #Covid19India #CoronaCrisis #lockdown
529,608,608,GetNewsd,"UP police misbehaves with people amid COVID-19 lockdown, asks youth, are all wives pregnant? #uttarpradesh #Covid19India #CoronavirusOutbreak https://newsd.in/up-police-misbehaves-with-people-amid-covid-19-lockdown-asks-youth-are-all-wives-pregnant/",2020-03-30 11:13:14+00:00,#uttarpradesh #Covid19India #CoronavirusOutbreak
532,611,611,PTTVOnlineNews,அவசியமின்றி மக்கள் வெளியே வந்தால் ஒன்றும் செய்ய முடியாது : சென்னை உயர்நீதிமன்றம் #CoronaVirusIndia | #COVID19India | #Lockdown | #ChennaiHC,2020-03-30 11:07:35+00:00,#CoronaVirusIndia #COVID19India #Lockdown #ChennaiHC
546,627,627,otvnews,"#Covid19India #21daysLockdown #OdishaTVExclusive During epidemic/mob riots, lockdown/curfew imposed abruptly. Planned lockdown is not global practice. India's recovery rate higher than US. Death rate also lower. Gap between new cases &amp; recoveries narrows ",2020-03-30 10:32:11+00:00,#Covid19India #21daysLockdown #OdishaTVExclusive
571,654,654,PTTVOnlineNews,"#JUSTIN பங்குச் சந்தைகள் கடும் சரிவு! மும்பை பங்குச்சந்தை சென்செக்ஸ் 1,400 புள்ளிகளும் தேசிய பங்குச் சந்தை நிஃப்டி 350 புள்ளிகளுக்கு மேல் சரிவு #CoronaVirusIndia | #COVID19India | #Lockdown | #Sensex",2020-03-30 09:32:24+00:00,#JUSTIN #CoronaVirusIndia #COVID19India #Lockdown #Sensex
582,666,666,PTTVOnlineNews,"நமக்குள் இருக்கும் திறமையை வெளிகொண்டு வருவதற்கான சிறந்த நேரம் இது : நவீனா, எழுத்தாளர் #CoronaVirusIndia | #COVID19India | #TNFightsCorona | #Lockdown | #Naveena",2020-03-30 09:10:29+00:00,#CoronaVirusIndia #COVID19India #TNFightsCorona #Lockdown #Naveena
594,682,682,ANN_Newsable,Hotel owner in #Bengaluru feeds crows amid #coronavirus lockdown #lockdown #Covid19India #COVID,2020-03-30 08:57:01+00:00,#Bengaluru #coronavirus #lockdown #Covid19India #COVID
619,713,713,ConceptTVNews,"Indian Prime Minister @narendramodi apologized to the public on Sunday for imposing a three-week national lockdown, calling it harsh but “needed to win” the battle against the #CoronavirusPandemic. #India #Modi #Covid19India ",2020-03-30 08:17:55+00:00,#CoronavirusPandemic #India #Modi #Covid19India
626,722,722,firstbiharnews,"लॉक डाउन में हुई नवजात की मौत, ऑटो में गर्भवती महिला का हुआ प्रसव https://bit.ly/2Jrdm5r #lockdown #Lockdown21 #CoronaUpdate #Corona #CoronavirusLockdown #CoronavirusLockdown #Coronavirustruth #COVID #COVID2019 #Covid19India #Covid_19 #COVID19 #lockdown #Lockdown21",2020-03-30 08:13:55+00:00,#lockdown #Lockdown21 #CoronaUpdate #Corona #CoronavirusLockdown #CoronavirusLockdown #Coronavirustruth #COVID #COVID2019 #Covid19India #Covid_19 #COVID19 #lockdown #Lockdown21
642,739,739,pennewstweet,COVID-19: Centre suspends two IAS officers for Dereliction of Duty during lockdown #Coronavirusindia #COVID19 #COVID19India #CoronaVirusOutbreak #CoronaVirus #COVID_19India #COVID19outbreak #IndiaFightsCoronavirus #Lockdown21 #Lockdown #LockdownIndia,2020-03-30 07:59:30+00:00,#Coronavirusindia #COVID19 #COVID19India #CoronaVirusOutbreak #CoronaVirus #COVID_19India #COVID19outbreak #IndiaFightsCoronavirus #Lockdown21 #Lockdown #LockdownIndia
643,740,740,GetNewsd,"Manipur govt launches website for stranded citizens amidst COVID-19 lockdown, Check here @http://tengbang.in #manipur #Covid19India #CoronavirusOutbreak https://newsd.in/manipur-govt-launches-website-for-stranded-citizens-amidst-covid-19-lockdown-check-here-tengbang-in/",2020-03-30 07:59:24+00:00,#manipur #Covid19India #CoronavirusOutbreak
669,772,772,pennewstweet,SC to hear petition on migrants #SupremeCourt #migrantworkers #AlakAlokShrivastava #Coronavirusindia #COVID19 #COVID19India #CoronaVirusOutbreak #CoronaVirus #COVID_19India #COVID19outbreak #IndiaFightsCoronavirus #Lockdown21 #Lockdown #LockdownIndia,2020-03-30 07:15:31+00:00,#SupremeCourt #migrantworkers #AlakAlokShrivastava #Coronavirusindia #COVID19 #COVID19India #CoronaVirusOutbreak #CoronaVirus #COVID_19India #COVID19outbreak #IndiaFightsCoronavirus #Lockdown21 #Lockdown #LockdownIndia
685,792,792,News18Odia,"୨୧ଦିନିଆ ଲକଡାଉନର ସମୟ ଅବଧି ବୃଦ୍ଧି ଖବରକୁ କେନ୍ଦ୍ରର ଖଣ୍ଡନ, ଏ ଭଳି କୌଣସି ଯୋଜନା ହୋଇ ନ ଥିବା ସ୍ପଷ୍ଟ କଲେ କ୍ୟାବିନେଟ୍ ସଚିବ ରାଜୀବ ଗୌବା #coronavirus #Covid19India #lockdown",2020-03-30 06:57:31+00:00,#coronavirus #Covid19India #lockdown
718,828,828,SoporeNews1,"INDIA : This mini truck full of flour was looted by people in Kota Rajasthan. Truck owner Jitendra said there is widespread hunger [amidst the lockdown] and people are helpless"" #21daylockdown #CoronaUpdate #Covid19India #CoronaLockdown",2020-03-30 05:28:43+00:00,#21daylockdown #CoronaUpdate #Covid19India #CoronaLockdown
726,839,839,pennewstweet,Telangana likely to be free of COVID-19 from April 7 : CM #Telangana #KChandrashekharaRao #Coronavirusindia #COVID19 #COVID19India #CoronaVirusOutbreak #CoronaVirus #COVID_19 #COVID19outbreak #IndiaFightsCoronavirus #Lockdown #IndiaFightsCorona,2020-03-30 05:19:33+00:00,#Telangana #KChandrashekharaRao #Coronavirusindia #COVID19 #COVID19India #CoronaVirusOutbreak #CoronaVirus #COVID_19 #COVID19outbreak #IndiaFightsCoronavirus #Lockdown #IndiaFightsCorona
751,869,869,CatchNews,#Coronavirus: NF Railway starts converting train coaches into isolation wards in #Guwahati #Covid19India #NortheastFrontierRailway #lockdown ,2020-03-30 05:00:01+00:00,#Coronavirus #Guwahati #Covid19India #NortheastFrontierRailway #lockdown
755,874,874,pennewstweet,"Telangana govt announces 12 kg rice free, Rs 500 for migrant labours #Telangana #migrantworkers #KChandrshekharRao #Coronavirusindia #COVID19 #COVID19India #CoronaVirusOutbreak #CoronaVirus #COVID_19 #COVID19outbreak #IndiaFightsCoronavirus #Lockdown ",2020-03-30 04:57:34+00:00,#Telangana #migrantworkers #KChandrshekharRao #Coronavirusindia #COVID19 #COVID19India #CoronaVirusOutbreak #CoronaVirus #COVID_19 #COVID19outbreak #IndiaFightsCoronavirus #Lockdown
756,876,876,firstbiharnews,"लॉकडाउन पर राहत की सबसे बड़ी खबर, मोदी सरकार के अधिकारी ने दिया ये बयान https://bit.ly/2xwWxn1 @narendramodi @PMOIndia #lockdown #Lockdown21 #Covid19India #Covid_19 #CoronaOutbreak #CoronaLockdown",2020-03-30 04:56:21+00:00,#lockdown #Lockdown21 #Covid19India #Covid_19 #CoronaOutbreak #CoronaLockdown
759,880,880,News18Odia,"ଆମ୍ବୁଲାନ୍ସରେ ଯାତ୍ରୀ ପରିବହନ ବେଳେ ଧରିଲା ପୋଲିସ, ୮ ଜଣ ଯାତ୍ରୀଙ୍କ ସହ ଆମ୍ବୁଲାନ୍ସକୁ ଅଟକ ରଖିଲା ରାୟଗଡ଼ା ଟାଉନ ପୋଲିସ, ଅଡ଼ଗାଁରୁ ଯାତ୍ରୀଙ୍କୁ ନେଇ ନବରଙ୍ଗପୁର ଯାଉଥିଲା ଆମ୍ବୁଲାନ୍ସ #coronavirus #Covid19India #lockdown #Odisha",2020-03-30 04:53:13+00:00,#coronavirus #Covid19India #lockdown #Odisha
799,927,927,indiatvnews,Coronavirus: Indore on 3-day complete lockdown after city reports 7 new cases #CoronavirusOutbreak #CoronavirusIndia #CoronavirusPandemic #Covid19India ,2020-03-30 03:44:36+00:00,#CoronavirusOutbreak #CoronavirusIndia #CoronavirusPandemic #Covid19India
802,931,931,News18Odia,"ଲକ୍‌ଡାଉନ ନିୟମକୁ କଡ଼ାକଡ଼ି କଲା କମିସନରେଟ ପୋଲିସ, ୧ ନମ୍ବର ହାଟ ନିକଟରୁ ଲୋକଙ୍କ ଗାଡ଼ି ସିଲ୍‌ କଲା ପୋଲିସ #coronavirus #Covid19India #lockdown #Odisha",2020-03-30 03:22:13+00:00,#coronavirus #Covid19India #lockdown #Odisha
820,954,954,News18Guj,"કોરોના સામે લડવા માટે કેન્દ્ર એક્શનમાં, PMO-ગૃહ મંત્રાલયે ભલામણો માટે 11 સમિતિઓ બનાવી #coronavirusindia #IndiaLockdown #ModiGovt #pmoindia #NitiAayog #NarendraModi #AmitShah #Stayhome #lockdown #Covid19India ",2020-03-30 02:16:05+00:00,#coronavirusindia #IndiaLockdown #ModiGovt #pmoindia #NitiAayog #NarendraModi #AmitShah #Stayhome #Stayhome #lockdown #Covid19India
826,960,960,indiatvnews,"Coronavirus lockdown: 13 held, 22 booked for gathering for prayers in Pune | Live Updates #CoronavirusOutbreak #CoronavirusIndia #CoronavirusPandemic #Covid19India ",2020-03-30 01:57:11+00:00,#CoronavirusOutbreak #CoronavirusIndia #CoronavirusPandemic #Covid19India
877,1022,1022,NewsBricks,CBSE Schools at Chennai Forcing Parents to Pay School Fees within 31st March 2020 during Lockdown. Is the Government of Tamil Nadu Aware of It? #CBSENews #Chennai #Tamilnadu #coronavirusindia #CoronavirusTamilNadu #Covid_19 #Covid19India #lockdownindia https://www.newsbricks.com/tamil-nadu/school-forcing-parents-to-pay-fees/07976,2020-03-29 18:45:13+00:00,#CBSENews #Chennai #Tamilnadu #coronavirusindia #CoronavirusTamilNadu #Covid_19 #Covid19India #lockdownindia
947,1103,1103,pennewstweet,PM seeks forgiveness for hardship caused #NarendraModi #Lockdown21 #LockdownIndia #Lockdown #COVID19India #COVID19 #CoronaVirusOutbreak #CoronaVirus #COVID_19India #COVID19outbreak #IndiaFightsCoronavirus #IndiaFightsCorona #MannKiBaat,2020-03-29 12:05:40+00:00,#NarendraModi #Lockdown21 #LockdownIndia #Lockdown #COVID19India #COVID19 #CoronaVirusOutbreak #CoronaVirus #COVID_19India #COVID19outbreak #IndiaFightsCoronavirus #IndiaFightsCorona #MannKiBaat
953,1109,1109,pennewstweet,Thousands of migrant workers in a Kerala town gather flouting lockdown #migrantworkers #Kottayam #WestBengal #Bihar #Chhattisgarh #COVID_19India #COVID19outbreak #IndiaFightsCoronavirus #IndiaFightsCorona #Lockdown21 #LockdownIndia #Lockdown #COVID19India ,2020-03-29 11:54:57+00:00,#migrantworkers #Kottayam #WestBengal #Bihar #Chhattisgarh #COVID_19India #COVID19outbreak #IndiaFightsCoronavirus #IndiaFightsCorona #Lockdown21 #LockdownIndia #Lockdown #COVID19India
955,1111,1111,ddnewsBihar,Banks and ATMs are providing services during #lockdown in #Bihar #Covid19India #staysafe @PIB_Patna @PIB_India @DDNewslive @airnewsalerts https://youtu.be/kLEXQcs28Dg via @YouTube,2020-03-29 11:47:35+00:00,#lockdown #Bihar #Covid19India #staysafe
974,1132,1132,thenewsroom8,Subarnapur: Temporary Medical Camps Set up in GPs to Provide Quarantine Facilities #Covid19India #Lockdown @DM_Subarnapur @MonishaBanerje0 @thenewsroom8,2020-03-29 10:03:11+00:00,#Covid19India #Lockdown
988,1148,1148,GetNewsd,Coronavirus Lockdown: Muslims assist funeral procession of Hindu deceased in UP’s Bulandshahr #CoronaUpdate #CoronaLockdown #Covid19India https://newsd.in/coronavirus-lockdown-muslims-assist-funeral-procession-of-hindu-deceased/,2020-03-29 08:56:00+00:00,#CoronaUpdate #CoronaLockdown #Covid19India
993,1153,1153,Kalaignarnews,"கொரோனா தடுப்பு நடவடிக்கை ; தி.மு.க எம்.எல்.ஏ, எம்.பிக்கள் நிதி ஒதுக்கீடு..! https://youtu.be/2raCohZtGy4 #DMK #MKStalin #Lockdown #coronavirusindia #Covid19India",2020-03-29 08:48:52+00:00,#DMK #MKStalin #Lockdown #coronavirusindia #Covid19India
998,1158,1158,News18Guj,"COVID-19ના કારણે કામ ઠપ, સેક્સ વર્કર્સને સતાવી રહ્યો છે ભૂખમરાનો ડર #Lockdown #Sonagachi #Covid19India #coronavirusindia #indialockdown #Starvation #WestBengal",2020-03-29 08:39:16+00:00,#Lockdown #Sonagachi #Covid19India #coronavirusindia #indialockdown #Starvation #WestBengal
1003,1164,1164,pennewstweet,Farmers to bear the brunt of 21-day lockdown #Farmers #Lockdown21 #lockdown #Rabicrops #MadhyaPradesh #Rajasthan #UttarPradesh #Coronavirusindia #COVID19 #COVID19India #CoronaVirusOutbreak #CoronaVirus #COVID_19 #IndiaFightsCoronavirus #IndiaFightsCorona,2020-03-29 08:07:44+00:00,#Farmers #Lockdown21 #lockdown #Rabicrops #MadhyaPradesh #Rajasthan #UttarPradesh #Coronavirusindia #COVID19 #COVID19India #CoronaVirusOutbreak #CoronaVirus #COVID_19 #IndiaFightsCoronavirus #IndiaFightsCorona
1038,1201,1201,suvarnanewstv,ಲಾಕ್‌ಡೌನ್‌: ಗಗನಕ್ಕೇರಿದ ತರಕಾರಿ ಬೆಲೆ #Lockdown #Chikkamagaluru #Covid19India ,2020-03-29 07:16:27+00:00,#Lockdown #Chikkamagaluru #Covid19India
1053,1217,1217,GetNewsd,"Live Breaking News March 29: PM urges people to take up old hobbies such as gardening, music during lockdown #narendra modi #coronavirus #Covid19India #CoronavirusOutbreak",2020-03-29 06:11:56+00:00,#narendra #coronavirus #Covid19India #CoronavirusOutbreak
1195,1376,1376,NewsMobileIndia,"Delhi: Jhandewalan Temple Trust and volunteers of Sewa Bharati are preparing food to be served to needy, amid lockdown due to #Covid19India @ArvindKejriwal",2020-03-28 14:36:25+00:00,#Covid19India
1218,1401,1401,kanlish_News,"Varun Dhawan Raps About 21-Day Lockdown, Features PM's Speech.... #keepyourfamilysafe #bollywood #india #bollywoodnews #lockdown #TigerShroff #ShraddhaKapoor #VarunDhawan #Covid19India #Covid19 #Coronavirusindia #FightagainstCOVID19 #PMNarendraModi",2020-03-28 13:00:01+00:00,#keepyourfamilysafe #bollywood #india #bollywoodnews #lockdown #TigerShroff #ShraddhaKapoor #VarunDhawan #Covid19India #Covid19 #Coronavirusindia #FightagainstCOVID19 #PMNarendraModi
