,Unnamed: 0,Unnamed: 0.1,User,Text,Date,Hashtags
4780,5299,5299,kisanbhartinews,"विदेशी सब्जी की खेती पर 90 फीसदी सब्सिडी ( Subsidy ) का लाभ उठाएं, ऑनलाइन करें आवेदन To Read More http://kisanbharti.com/90-percent-subsidy-on-foreign-vegetable-to-farmer-apply-online @nstomar @DrPremKrBihar #agriculture #KisanBharti #lockdown #Covid19India #CoronaLockdown #coronaupdatesindia #respect #farmers #किसान #Indian #HELP #किसानों",2020-04-29 10:42:42+00:00,#agriculture #KisanBharti #lockdown #Covid19India #CoronaLockdown #coronaupdatesindia #respect #farmers #Indian #HELP
4791,5312,5312,firstbiharnews,"मोतिहारी में पुलिस टीम पर हमला, मास्क लगाने को कहा तो भड़क गये ग्रामीण https://bit.ly/2Sd2e11 #lockdown #Lockdown2 #SocialDistancing #coronaupdatesindia #CoronaWarriors #Covid19India #COVID",2020-04-29 10:19:24+00:00,#lockdown #Lockdown2 #SocialDistancing #coronaupdatesindia #CoronaWarriors #Covid19India #COVID
4832,5362,5362,NewsFirstKan,ರಾಜ್ಯದಲ್ಲಿ ಸೋಂಕಿತರ ಸಂಖ್ಯೆ 532 ಕ್ಕೆ ಏರಿಕೆ ! ಒಂದೇ ದಿನ 9 ಪ್ರಕರಣಗಳು ಪತ್ತೆ! https://newsfirstlive.com/2020/04/29/corona-cases-raised-to-532-in-state/#CORONA #coronainkarnataka #Coronavirus #CoronaMemes #indiafightscorona #FightAgainstCoronaVirus #Covid19India #lockdown #IndiaAgainstCorona #coronapositivecase @sriramulubjp @CMofKarnataka,2020-04-29 07:44:02+00:00,#coronainkarnataka #Coronavirus #CoronaMemes #indiafightscorona #FightAgainstCoronaVirus #Covid19India #lockdown #IndiaAgainstCorona #coronapositivecase
4854,5387,5387,NewsFirstKan,ಕೊರೊನಾ ಭೀತಿ; ಮುಂದಿನ ಗುರುವಾರದವರೆಗೂ ನೀತಿ ಆಯೋಗದ ಕಚೇರಿ ಬಂದ್! https://newsfirstlive.com/2020/04/29/nithi-ayoga-office-seal-after-one-corona-positive-case-find-out/ #ನೀತಿಆಯೋಗ #NitiAayog #nitiayogsealed #CORONA #coronainkarnataka #Coronavirus #CoronaMemes #indiafightscorona #FightAgainstCoronaVirus #Covid19India #lockdown #IndiaAgainstCorona,2020-04-29 06:06:19+00:00,#NitiAayog #nitiayogsealed #CORONA #coronainkarnataka #Coronavirus #CoronaMemes #indiafightscorona #FightAgainstCoronaVirus #Covid19India #lockdown #IndiaAgainstCorona
4876,5414,5414,suvarnanewstv,ಕೊರೋನಾ ಸೋಂಕು ಪತ್ತೆಯಾದರೆ ಕಚೇರಿ ಸೀಲ್‌ ಮಾಡಲ್ಲ #Coronavirus #COVID19 #Lockdown #indialockdown #KannadaNews #Covid19India #coronaupdatesindia,2020-04-29 04:15:09+00:00,#Coronavirus #COVID19 #Lockdown #indialockdown #KannadaNews #Covid19India #coronaupdatesindia
4920,5465,5465,teluguinnews,పదో తరగతి పరీక్షలు రద్దు.. CBSE కీలక నిర్ణయం..! #SSC #CBSE #lockdown #Covid19India #Covid_19india #coronavirus #Corona https://www.teluguin.com/news/cbse-cancel-tenth-class-examinations.html,2020-04-28 20:46:38+00:00,#SSC #CBSE #lockdown #Covid19India #Covid_19india #coronavirus #Corona
4923,5469,5469,teluguinnews,మానవత్వం చాటుకున్న పారిశుద్ధ్య కార్మికురాలు.. మెచ్చుకున్న కేటీఆర్..! #KTR #TRS #Sanitation #SanitationWorkers #Covid19India #Covid_19india #coronavirus #Corona #lockdown https://www.teluguin.com/news/sanitation-worker-proof-his-humanity.html,2020-04-28 20:42:20+00:00,#KTR #TRS #Sanitation #SanitationWorkers #Covid19India #Covid_19india #coronavirus #Corona #lockdown
4930,5477,5477,SakalMediaNews,कुटुंब नियोजनावर असा झाला आहे कोरोनाचा परिणाम! #Sakal #SakalNews #viral #news #SakalMedia #India #Corona #Covid19india #coronavirus #lockdown #MarathiNews #Maharashtra,2020-04-28 20:30:22+00:00,#Sakal #SakalNews #viral #news #SakalMedia #India #Corona #Covid19india #coronavirus #lockdown #MarathiNews #Maharashtra
4957,5505,5505,SakalMediaNews,जळगाव जिल्ह्यात सात जणांचे अहवाल पॉझिटिव्ह... कोरोनाग्रस्तांची संख्या एकतीसवर ! #Sakal #SakalNews #viral #news #SakalMedia #India #Corona #Covid19india #coronavirus #lockdown #MarathiNews #Maharashtra,2020-04-28 18:30:19+00:00,#Sakal #SakalNews #viral #news #SakalMedia #India #Corona #Covid19india #coronavirus #lockdown #MarathiNews #Maharashtra
4991,5544,5544,newsthinkind,"1600 KM पैदल चलकर पहुंचा घर, 6 घंटे में हुई मौत #CoronaUpdatesInIndia #COVID19 #Covid19India #Covid_19india #COVID2019india #coronaupdatesindia #CoronaUpdate #Coronavirustruth #lockdown #Lockdown21 #LockdownExtended #newsthink #MigrantWorkers",2020-04-28 14:45:37+00:00,#CoronaUpdatesInIndia #COVID19 #Covid19India #Covid_19india #COVID2019india #coronaupdatesindia #CoronaUpdate #Coronavirustruth #lockdown #Lockdown21 #LockdownExtended #newsthink #MigrantWorkers
5041,5595,5595,HSnewsLive,कोरोना से लड़ने के लिए एशियन डिवेलपमेंट बैंक (ADB) ने भारत सरकार के लिए 1.5 अरब डॉलर के लोन को मंजूरी दी. @MoHFW_INDIA @narendramodi @drharshvardhan #coronavirus #coronaupdatesindia #Lockdown #LockdownEnd #CoronavirusOutbreakindia #COVID19Pandemic #Covid19India ,2020-04-28 10:56:10+00:00,#coronavirus #coronaupdatesindia #Lockdown #LockdownEnd #CoronavirusOutbreakindia #COVID19Pandemic #Covid19India
5049,5604,5604,HSnewsLive,कर्नाटक सरकार ने 14 जिलों में लॉकडाउन में दी ढील. उद्योगों से कर्मचारियों के लिए अलग वाहन उपलब्ध कराने को कहा. @CMofKarnataka @MoHFW_INDIA #coronavirus #coronaupdatesindia #Lockdown #LockdownEnd #CoronavirusOutbreakindia #COVID19Pandemic #Covid19India ,2020-04-28 10:33:03+00:00,#coronavirus #coronaupdatesindia #Lockdown #LockdownEnd #CoronavirusOutbreakindia #COVID19Pandemic #Covid19India
5084,5644,5644,thenewsroom8,"Odisha Govt to Provide Food, Hygiene Kit at TMCs for Registered Returnees Post Lockdown #Covid19India #OdishaFightsCorona @CMO_Odisha @Naveen_Odisha @HFWOdisha @thenewsroom8",2020-04-28 07:28:58+00:00,#Covid19India #OdishaFightsCorona
5097,5659,5659,SakalMediaNews,#Coronaeffect : सीमा बंद करण्यासाठी इथं उभारली चक्क भिंतच! #Sakal #SakalNews #viral #news #SakalMedia #India #Corona #Covid19india #coronavirus #lockdown #MarathiNews #TamilNadu,2020-04-28 06:30:08+00:00,#Coronaeffect #Sakal #SakalNews #viral #news #SakalMedia #India #Corona #Covid19india #coronavirus #lockdown #MarathiNews #TamilNadu
5100,5663,5663,otvnews,#Odisha govt approves the following unit cost for running of temporary medical camps for people stranded outside the State who intend to return after lockdown period #Covid19India #OdishaFightsCorona,2020-04-28 06:20:45+00:00,#Odisha #Covid19India #OdishaFightsCorona
5101,5664,5664,SakalMediaNews,"होय, लॉकडाऊन असतानाही इथं झाली पगारवाढ! #Sakal #SakalNews #viral #news #SakalMedia #India #Corona #Covid19india #coronavirus #lockdown #MarathiNews #Maharashtra #salary",2020-04-28 06:20:04+00:00,#Sakal #SakalNews #viral #news #SakalMedia #India #Corona #Covid19india #coronavirus #lockdown #MarathiNews #Maharashtra #salary
5116,5682,5682,SakalMediaNews,अमरावतीत कुठून झाला कोरोनाचा संसर्ग?...यंत्रणा चक्रावली #Amravati #Infected #Sakal #SakalNews #viral #news #SakalMedia #India #Corona #Covid19india #coronavirus #lockdown #MarathiNews #Maharashtra #Vidarbha #viral,2020-04-28 04:55:03+00:00,#Amravati #Infected #Sakal #SakalNews #viral #news #SakalMedia #India #Corona #Covid19india #coronavirus #lockdown #MarathiNews #Maharashtra #Vidarbha #viral
5150,5721,5721,teluguinnews,కరోనాపై కీలక ప్రకటన చేసిన సీఎం కేసీఆర్.. కొద్ది రోజుల్లోనే..! #Telangana #CMKCR #coronavirus #Covid19India #COVIDー19 #COVID19 #lockdownhustle #lockdown #HyderabadLockdown https://www.teluguin.com/news/cm-kcr-key-statement-on-corona.html,2020-04-27 18:23:26+00:00,#Telangana #CMKCR #coronavirus #Covid19India #COVID #COVID19 #lockdownhustle #lockdown #HyderabadLockdown
5170,5743,5743,KBKnewsgraphics,"#CoronaUpdatesInIndia: A snapshot of #Covid_19 trends post lockdown - track the number of cases, recoveries deaths and the worst affects states (Update till 5pm April 27) #COVID19Pandemic #coronaupdatesindia #Covid19India #Covid_19india",2020-04-27 17:44:03+00:00,#CoronaUpdatesInIndia #Covid_19 #COVID19Pandemic #coronaupdatesindia #Covid19India #Covid_19india
5178,5751,5751,rahulrajnews,See how AAP MLA #ImranHussain defies lockdown and gets into verbal spat with @DelhiPolice personnel after he was asked to not form a gathering. Hussain reached Sadar Bazar to see Police bandobast at with more than dozen people accompanied by him. #Covid19India #lockdownhustle,2020-04-27 17:13:07+00:00,#ImranHussain #Covid19India #lockdownhustle
5180,5753,5753,PTTVOnlineNews,"#PTcampaign: கொரோனாவை விரட்ட, 3 ஃபார்முலாவை கடைபிடிப்போம்..! #CoronaVirusInIndia | #COVID19India | #LockDown | #StayHome | #TamilNadu | #NewGenMedia",2020-04-27 17:08:25+00:00,#PTcampaign #CoronaVirusInIndia #COVID19India #LockDown #StayHome #StayHome #TamilNadu #NewGenMedia
5191,5765,5765,SakalMediaNews,ट्रॅक्टरखाली चिरडून साताऱ्यातील बालिका ठार. #Sakal #SakalNews #viral #news #SakalMedia #India #Corona #Covid19india #coronavirus #lockdown #MarathiNews #Maharashtra #Satara,2020-04-27 16:30:10+00:00,#Sakal #SakalNews #viral #news #SakalMedia #India #Corona #Covid19india #coronavirus #lockdown #MarathiNews #Maharashtra #Satara
5197,5773,5773,StvHaryananews1,"PrimeTime: आर्थिक मोर्चे पर क्या है सरकार का प्लान, क्या होगा 3 मई के बाद ? #STVHaryananews #Covid19India #Lockdown ",2020-04-27 16:12:53+00:00,#STVHaryananews #Covid19India #Lockdown
5215,5793,5793,financialnewsn,#COVID #Covid_19 #coronavirus #news #breaking #breakingnews #india #usa #wallstreet #investing #Trump #china #uk #dollar #layoffs #japan #COVIDIOTS #Covid19India #crudeoil #mutualfunds #investing #TrumpLiesAmericansDie #lockdown #coronavirus,2020-04-27 14:14:05+00:00,#COVID #Covid_19 #coronavirus #news #breaking #breakingnews #india #usa #wallstreet #investing #Trump #china #uk #dollar #layoffs #japan #COVIDIOTS #Covid19India #crudeoil #mutualfunds #investing #TrumpLiesAmericansDie #lockdown #coronavirus
5261,5845,5845,HSnewsLive,नोएडा के डीएम ने #corona को लेकर लोगों से अफवाह ना फैलाने को कहा @noida_authority @dmgbnagar @dr_maheshsharma #rumours #Covid19India #lockdown ,2020-04-27 12:30:01+00:00,#corona #rumours #Covid19India #lockdown
5275,5862,5862,tazaakhabarnews,Coronavirus 2 Chinese companies stop using rapid test kits for COVID-19: ICMR advises states https://tazaa-khabar.blogspot.com/2020/04/coronavirus-2-chinese-companies-stop-rapid-test-kits-for-covid-19.html #coronavirus #covid19india #coronavirusupdate #lockdown #chinese #covid19kits #indianews #latesthindinewstoday #tazaakhabar #hindinewstoday #lockdownend,2020-04-27 12:04:57+00:00,#coronavirus #covid19india #coronavirusupdate #lockdown #chinese #covid19kits #indianews #latesthindinewstoday #tazaakhabar #hindinewstoday #lockdownend
5279,5866,5866,SakalMediaNews,Danger of COVID-19 is far from over and hence constant vigilance is of paramount importance: PM Modi to State governments. http://esakal.com #Sakal #SakalMedia #SakalNews #viral #news #ViralNews #Covid19 #covidsafe #lockdown #covid19india #PMModi @narendramodi,2020-04-27 12:00:19+00:00,#Sakal #SakalMedia #SakalNews #viral #news #ViralNews #Covid19 #covidsafe #lockdown #covid19india #PMModi
5281,5868,5868,publiclivenews,प्रधानमंत्री नरेंद्र मोदी के साथ बैठक में नीतीश कुमार ने कहा कि कोटा समेत अन्य राज्यों से छात्रों को वापस बुलाने पर एक ही नीति बननी चाहिए. #Corona #CoronavirusOutbreak #COVID #Covid19India #lockdown #kota #NarendraModi पढ़िए पूरी खबर http://publiclive.co.in/2020/04/27/%e0%a4%a8%e0%a5%80%e0%a4%a4%e0%a5%80%e0%a4%b6-%e0%a4%a8%e0%a5%87-%e0%a4%89%e0%a4%a0%e0%a4%be%e0%a4%af%e0%a4%be-%e0%a4%95%e0%a5%8b%e0%a4%9f%e0%a4%be-%e0%a4%95%e0%a5%87-%e0%a4%ac%e0%a4%9a%e0%a5%8d/,2020-04-27 12:00:16+00:00,#Corona #CoronavirusOutbreak #COVID #Covid19India #lockdown #kota #NarendraModi
5285,5872,5872,HSnewsLive,"#lockdown: बैठक में शामिल गृहमंत्री अमित शाह ने कहा, यह लड़ाई लंबी है और धैर्य के साथ लड़नी पड़ेगी. @AmitShah @HMOIndia @PMOIndia #amitshah #lockdownextension #Covid19India #Covid_19 #StayHome #StayHomeSaveLives #coronaupdatesindia",2020-04-27 11:55:19+00:00,#lockdown #amitshah #lockdownextension #Covid19India #Covid_19 #StayHome #StayHome #StayHomeSaveLives #coronaupdatesindia
5295,5885,5885,newsinind,"Red zone areas to still remain under lockdown, says PM Modi https://newsinind.com/red-zone-areas-to-still-remain-under-lockdown-says-pm-modi #lockdown #Covid19India #LockdownEnd",2020-04-27 11:44:57+00:00,#lockdown #Covid19India #LockdownEnd
5329,5922,5922,StvHaryananews1,झज्जर में मिले दो कोरोना पॉजिटिव मामलों के बाद प्रशासन अलर्ट पर है....यहां के एक सब्जी विक्रेता में कोरोना होने की पुष्टि हुई है.. #STVHaryanaNews #Covid19India #Lockdown ,2020-04-27 10:26:29+00:00,#STVHaryanaNews #Covid19India #Lockdown
5347,5942,5942,ptcnews,"PM @narendramodi interacts with CMs on #COVID19 situation, discusses lockdown exit strategy #CoronavirusLockdown #covid19india ",2020-04-27 09:31:01+00:00,#COVID19 #CoronavirusLockdown #covid19india
5351,5946,5946,Chinaccelerator,"“China’s venture capital funding rallies after coronavirus lockdown” In a recent interview with @FinancialTimes, our MD @williambaobean weighed in on the current situation of venture capital funding in China. #venturecapital #funding #china #Covid19India ",2020-04-27 09:12:46+00:00,#venturecapital #funding #china #Covid19India
5375,5972,5972,StvHaryananews1,#फतेहाबाद- दूसरे जिलों में फंसे लोगों को पहुंचाया गया घर हरियाणा रोडवेज से 6 लोगों को लाया गया फतेहाबाद रेवाड़ी में सरसों कटाई का काम करने गए सभी लोग #STVHaryanaNews #Covid19India #Lockdown @HaryanaRoadway2,2020-04-27 07:49:51+00:00,#STVHaryanaNews #Covid19India #Lockdown
5383,5980,5980,pennewstweet,IT dept dismisses proposal for a Covid-19 tax on India’s super rich #IncomeTaxDepartment #Covid19tax #wealthtax #MInistryofFinance #lockdown #Coronavirusindia #COVID19 #COVID19India #CoronaVirus #COVID_19,2020-04-27 07:31:52+00:00,#IncomeTaxDepartment #Covid19tax #wealthtax #MInistryofFinance #lockdown #Coronavirusindia #COVID19 #COVID19India #CoronaVirus #COVID_19
