,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,User,Text,Date,Hashtags
3467,6758,7178,7641,7641,News18Odia,"ମାର୍ଚ୍ଚ ୩୧, ୨୦୨୦ ସୁଦ୍ଧା ରିଲାଏନ୍ସ ଜିଓର ଗ୍ରାହକ ଆଧାର ୩୮.୭୫ କୋଟି ଥିଲା, ଯାହା ଗତ ବର୍ଷ ଠାରୁ ୨୬.୩ ପ୍ରତିଶତ ଅଧିକ । ମାର୍ଚ୍ଚ ତ୍ରୈମାସିକ ଅବଧିରେ କମ୍ପାନୀ ୨.୪ କୋଟି ନୂଆ ଗ୍ରାହକ ପାଇଛି । @anandstdas #RelianceJio #Jio #JioFacebook #Telecom #lockdown #COVID19 ପଢ଼ନ୍ତୁ ପୂରା ଖବର:",2020-04-30 18:29:26+00:00,#RelianceJio #Jio #JioFacebook #Telecom #lockdown #COVID19
3481,6785,7207,7672,7672,SkyNews,Boris Johnson says the UK has gone beyond the peak of #coronavirus and he will outline a plan to ease lockdown measures next week. Get the latest on #COVID19: https://trib.al/FklH3N2,2020-04-30 18:23:37+00:00,#coronavirus #COVID19
3488,6798,7221,7686,7686,DDNewsHindi,विशेष चर्चा: #Lockdown में फंसे लोगों को निकालने के लिए दिशा-निर्देश जारी #COVID19 #IndiaFightsCorona WATCH:,2020-04-30 18:20:27+00:00,#Lockdown #COVID19 #IndiaFightsCorona
3490,6802,7227,7693,7693,amna_newseng,"#Greek Finance Minister @cstaikouras announced a new, targeted package of measures for the repercussions of the #Covid19 pandemic in #Greece on Wednesday evening, ahead of the country's initial rollback on Monday of #lockdown measures. ",2020-04-30 18:18:44+00:00,#Greek #Covid19 #Greece #lockdown
3495,6811,7236,7703,7703,apcupdate,COVID-19: 65 Persons Arrested In Lagos For Violating Lockdown Order #COVID19 https://www.instagram.com/p/B_nVIzZFxLs/?igshid=1nto8ypjvbrvq,2020-04-30 18:17:18+00:00,#COVID19
3527,6875,7304,7776,7776,HindiLiveNews,दिल्ली में 76 नए संक्रमित एंव 3 मौतें #RishiKapoor #coronaupdatesindia #Lockdown #Delhi #COVID19 #COVIDー19 #Covid_19india #coronavirus,2020-04-30 18:03:31+00:00,#RishiKapoor #coronaupdatesindia #Lockdown #Delhi #COVID19 #COVID #Covid_19india #coronavirus
3528,6877,7306,7778,7778,PTTVOnlineNews,#நேர்படப்பேசு | மீன்பிடி தடை காலத்தில் அரசு என்ன செய்ய வேண்டும்? காளியம்மாள் (நா.த.க) விளக்கம் #CoronaVirus | #COVID19 | #Lockdown ,2020-04-30 18:03:21+00:00,#CoronaVirus #COVID19 #Lockdown
3533,6887,7316,7789,7789,dentimesnews,Some dentists fear returning to work when COVID-19 lockdown eases https://news.abs-cbn.com/news/04/30/20/some-dentists-fear-returning-to-work-when-covid-19-lockdown-eases #covid19,2020-04-30 18:02:10+00:00,#covid19
3538,6897,7327,7802,7802,SakalMediaNews,54 year old #Gurugram man commits suicide after wife tests positive for Covid19. http://esakal.com #Sakal #SakalTimes #SakalNews #viral #news #ViralNews #Covid19 #Covid19Pandemic #lockdown #coronavirusindia,2020-04-30 18:00:36+00:00,#Gurugram #Sakal #SakalTimes #SakalNews #viral #news #ViralNews #Covid19 #Covid19Pandemic #lockdown #coronavirusindia
3548,6917,7348,7824,7824,HindiLiveNews,उत्तराखंड में 11 कोरोना संक्रमित ठीक हुए. . . . . . . #CoronavirusCrisis #coronaupdatesindia #Lockdown #COVID19 #COVIDー19 #Covid_19india #coronavirus,2020-04-30 17:58:26+00:00,#CoronavirusCrisis #coronaupdatesindia #Lockdown #COVID19 #COVID #Covid_19india #coronavirus
3552,6925,7357,7833,7833,HindiLiveNews,राजस्थान में 57 संक्रमित मरीज ठीक हुए . . #CoronavirusCrisis #coronaupdatesindia #Lockdown #COVID19 #COVIDー19 #Covid_19india #coronavirus,2020-04-30 17:56:08+00:00,#CoronavirusCrisis #coronaupdatesindia #Lockdown #COVID19 #COVID #Covid_19india #coronavirus
3555,6931,7365,7842,7842,HindiLiveNews,राजस्थान में 26 नए मामले . . #CoronavirusCrisis #coronaupdatesindia #Lockdown #COVID19 #COVIDー19 #Covid_19india #coronavirus,2020-04-30 17:54:40+00:00,#CoronavirusCrisis #coronaupdatesindia #Lockdown #COVID19 #COVID #Covid_19india #coronavirus
3577,6973,7412,7895,7895,SAfmnews,President Cyril Ramaphosa has noted with concern the rising cases of gender based violence during the covid19 lockdown. #sabcnews,2020-04-30 17:46:24+00:00,#sabcnews
3586,6989,7430,7915,7915,teluguinnews,లారీలకు లాక్‌డౌన్ నుంచి మినహాయింపు.. అన్ని రాష్ట్రాలకు కేంద్రం ఆదేశాలు..! #lockdown #COVID__19 #COVID19 #CoronaUpdatesInIndia https://www.teluguin.com/news/central-govt-exemption-from-lockdown-for-lorries.html,2020-04-30 17:44:10+00:00,#lockdown #COVID__19 #COVID19 #CoronaUpdatesInIndia
3599,7014,7457,7945,7945,RTUKnews,"We've past #COVID19's peak! Well for the time being... But Dr @Kit_Yates_Maths thinks it's far from over, as #lockdown has left us all without immunity - so what does that mean for lifting restrictions? ",2020-04-30 17:40:00+00:00,#COVID19 #lockdown
3628,7070,7515,8006,8006,News5AKSYON,Aerial footage showed thousands of people queuing for miles down a dirt road in South Africa for charity food aid meant to relieve hunger caused by the #COVID19 lockdown. ,2020-04-30 17:30:00+00:00,#COVID19
3665,7144,7592,8086,8086,SAgovnews,"READ| While campus-based learning has been put on hold due to the national #COVID19 #lockdown, interventions - including preparation for digital learning - have been put in place for the post-school education and training (PSET) sector http://tinyurl.com/yb94ozbj @HigherEduGovZA",2020-04-30 17:19:11+00:00,#COVID19 #lockdown
3719,7246,7700,8199,8199,GWRNews1,"@BorisJohnson your sounded very misleading today, you gave the impression that lockdown could start easing as early as next week. This is going to give the public a false sense of security, expect transportation levels to increase. #COVID19 #Covid19UK #coronavirus",2020-04-30 17:09:46+00:00,#COVID19 #Covid19UK #coronavirus
3768,7342,7809,8323,8323,VirginMediaNews,#CoronavirusIreland: The Taoiseach has outlined the roadmap to re-open Ireland Leo Varadkar says the Government is looking at plans to ease the lockdown – but cautioned restrictions may have to be re-introduced @GerLynaghTV reports #VMNews | #COVID19ireland | #COVID19 ,2020-04-30 17:00:01+00:00,#CoronavirusIreland #VMNews #COVID19ireland #COVID19
3789,7381,7851,8367,8367,Hotpage_News,Island hit by second wave of coronavirus after ending lockdown early #COVID19 #Coronavirus #SocialDistancing #flattenthecurve #trump -,2020-04-30 16:56:17+00:00,#COVID19 #Coronavirus #SocialDistancing #flattenthecurve #trump
3835,7470,7950,8477,8477,NewsMeter_In,#Telangana State Human Rights Commission has issued two enquiry notices to the state #police department in light of complaints regarding police brutality towards women during #COVID19 #lockdown. ,2020-04-30 16:46:23+00:00,#Telangana #police #COVID19 #lockdown
3860,7517,8002,8534,8534,arabnewspk,"Pakistan Embassy distributed food packages to 12,500 Pakistanis stranded in #Muscat and adjoining areas during the #COVID19 lockdown. || #CoronavirusPandemic - Photos by Pakistan Embassy in Muscat",2020-04-30 16:41:05+00:00,#Muscat #COVID19 #CoronavirusPandemic
3901,7593,8087,8629,8629,andybell5news,it was good to make our lockdown coincide with the peak of our outbreak says @BorisJohnson in answer to suggestion that UK heading for worst figures in Europe (and claim that UK too late into lockdown) #COVID19 - new argument ?,2020-04-30 16:32:00+00:00,#COVID19
3939,7668,8167,8716,8716,FilmNewsWeb,http://Film-News.co.uk Amy Schumer planning to 'revisit' having more children after the coronavirus pandemic - #AmySchumer @amyschumer #coronavirus #covid19 #lockdown http://dlvr.it/RVmMZm,2020-04-30 16:24:03+00:00,#AmySchumer #coronavirus #covid19 #lockdown
3968,7720,8222,8774,8774,robpowellnews,"Sir Patrick Vallance says the R reproduction rate of #covid19 is between 0.6 and 0.9 in the country. Over the coming weeks &amp; months, monitoring of the R rate will play a big part in how current lockdown measures are eased &amp; what social distancing restrictions stay in place.",2020-04-30 16:19:46+00:00,#covid19
3970,7724,8227,8780,8780,newsphh,#Himachal: बाहरी राज्यों से लौटे लोग यात्रा की दें जानकारी- मुख्यमंत्री #Lockdown #COVID19 @jairamthakurbjp #Newsphh,2020-04-30 16:19:28+00:00,#Himachal #Lockdown #COVID19 #Newsphh
3972,7728,8231,8784,8784,MahuiChina,"23: In n comparison with some countries, #China was fairly fast in responding to #COVID19, especially given the fact that #China was among the countries hit by the first wave of #COVID19. On 23 January when #Wuhan went under lockdown, the United States reported only one case.",2020-04-30 16:19:12+00:00,#China #COVID19 #China #COVID19 #Wuhan
3979,7741,8245,8799,8799,TenTamilNews,மே இறுதி வரை ஊரடங்கு நீட்டிப்பு ! #corona #tentamilnews #lockdown #covid19 #stayhomestaysafe,2020-04-30 16:17:56+00:00,#corona #tentamilnews #lockdown #covid19 #stayhomestaysafe
3990,7762,8268,8825,8825,YourNewsUKtv,The PM says 'we are passed the peak' https://wp.me/p4BB8h-reZ but not sign of lifting lockdown #StayHomeStaySafe #staysafe #COVID19 ,2020-04-30 16:15:44+00:00,#StayHomeStaySafe #staysafe #COVID19
